complaint_id,reporter_id,subject_id,date,complaint_type,severity,resolution,days_to_resolve
CMP00001,VF-004357,VF-000218,2026-03-26,SERVICE,MEDIUM,,
CMP00002,AGENT-024,VF-002278,2026-02-15,SERVICE,MEDIUM,Under Review,
CMP00003,AGENT-006,VF-001378,2026-01-25,BILLING,LOW,Rejected,
CMP00004,VF-004954,VF-001311,2026-03-22,SERVICE,CRITICAL,Rejected,
CMP00005,AGENT-035,VF-000040,2026-01-18,SERVICE,HIGH,Rejected,
CMP00006,VF-004861,VF-004416,2026-03-01,BILLING,LOW,Resolved,1.0
CMP00007,AGENT-033,VF-003510,2026-03-24,SERVICE,CRITICAL,Resolved,1.0
CMP00008,VF-000362,VF-003216,2026-01-02,SERVICE,CRITICAL,Under Review,
CMP00009,VF-004553,VF-001311,2026-02-11,BILLING,LOW,Rejected,
CMP00010,AGENT-018,VF-004101,2026-03-29,BILLING,CRITICAL,Rejected,
CMP00011,VF-003758,VF-001668,2026-01-16,SERVICE,CRITICAL,Rejected,
CMP00012,VF-003072,VF-002170,2026-01-20,BILLING,LOW,,
CMP00013,AGENT-045,VF-003103,2026-03-01,SERVICE,HIGH,,
CMP00014,AGENT-021,VF-001630,2026-02-10,BILLING,CRITICAL,Rejected,
CMP00015,AGENT-029,VF-000760,2026-03-12,SERVICE,HIGH,Transferred to Legal,
CMP00016,AGENT-042,VF-001205,2026-02-05,SERVICE,LOW,Rejected,
CMP00017,VF-004904,VF-001717,2026-01-05,SERVICE,CRITICAL,,
CMP00018,AGENT-036,VF-002758,2026-02-15,SERVICE,CRITICAL,Under Review,
CMP00019,AGENT-009,VF-002006,2026-01-09,SERVICE,CRITICAL,Resolved,25.0
CMP00020,AGENT-035,VF-004920,2026-03-02,BILLING,MEDIUM,Rejected,
CMP00021,AGENT-038,VF-001171,2026-03-03,BILLING,CRITICAL,Rejected,
CMP00022,VF-003913,VF-004380,2026-03-02,SERVICE,LOW,,
CMP00023,VF-002779,VF-000459,2026-01-05,BILLING,HIGH,Transferred to Legal,
CMP00024,AGENT-024,VF-003459,2026-03-02,SERVICE,CRITICAL,Transferred to Legal,
CMP00025,VF-003652,VF-001729,2026-01-03,BILLING,MEDIUM,Rejected,
CMP00026,VF-001423,VF-001365,2026-02-16,SERVICE,MEDIUM,,
CMP00027,VF-000581,VF-002279,2026-03-08,BILLING,MEDIUM,Resolved,26.0
CMP00028,VF-001478,VF-004470,2026-01-13,SERVICE,MEDIUM,Transferred to Legal,
CMP00029,VF-000483,VF-003666,2026-01-20,SERVICE,HIGH,Under Review,
CMP00030,VF-002334,VF-002785,2026-03-17,BILLING,MEDIUM,,
CMP00031,VF-001553,VF-003171,2026-02-06,BILLING,CRITICAL,Transferred to Legal,
CMP00032,VF-004509,VF-001936,2026-03-22,SERVICE,LOW,Resolved,15.0
CMP00033,VF-003006,VF-001989,2026-02-06,BILLING,CRITICAL,Rejected,
CMP00034,VF-003663,VF-000793,2026-01-25,BILLING,CRITICAL,Under Review,
CMP00035,VF-003628,VF-004454,2026-03-14,SERVICE,HIGH,,
CMP00036,VF-004356,VF-002153,2026-01-06,BILLING,HIGH,Resolved,9.0
CMP00037,VF-001758,VF-000073,2026-03-30,BILLING,LOW,Transferred to Legal,
CMP00038,AGENT-043,VF-002121,2026-02-20,BILLING,CRITICAL,Transferred to Legal,
CMP00039,VF-002341,VF-002919,2026-02-27,SERVICE,HIGH,Resolved,22.0
